user_name,title,first_name,last_name,password,dob,gender,credit,email,contact_no,status
aharris,Mr,Angus,Harris,angus,22/02/1992,1,10000,a.h@email.com,471917,Active
bmiller,Miss,Bryony,Miller,bryony,15/10/1991,0,100,b.m@email.com,381803,Black
damrstrong,Mr,Daniel,Armstrong,daniel,01/01/1990,1,0,d.a@email.com,47294,Hold
mleech,Mr,Mark,Leech,mark,29/02/1988,1,12345,m.l@email.com,NULL,Active
aclarke,Miss,Amy,Clarke,amy,27/04/1993,0,7654.32,a.c@email.com,345678,Archived
fchristmas,Mr,Father,Christmas,father,25/12/1972,1,10000,father.christmas@christmas.com,5678,Active
eharris,Miss,Emma,Harris,emma,06/10/1994,0,5555.55,e.h@hotmail.com,7731,Active
bstinch,Mr,Ben,Stinch,ben,03/03/1991,1,0,b.s@email.com,NULL,Active
rgibson,Mr,Robbie,Gibson,robbie,24/05/1985,1,9999.99,r.g@email.com,678,Black
bbaggins,Mr,Bilbo,Baggins,bilbo,01/01/1903,1,7920.22,NULL,678,Active
lparker,Mr,Laurence,Parker,laurence,05/04/1987,1,345,NULL,800999,Hold
sbartlett,Mr,Sam,Bartlett,sam,14/12/1993,1,1234,s.b@email.com,14258284,Active
