Customer_user_name,card_number,name_on_card,card_type,exp_date,start_date,Address_line_1,Address_post_code
aclarke,"5489 2154 6582","Mark Leech",VISA,2024-01-09,NULL,"8 Cecil Road","M9 6RP"
aharris,"1165 2589 3564",Angus,VISA,2016-04-26,2014-01-01,"99 Everyway","PR1 1LL"
aharris,"1258 4578 9856","E Harris",VISA,2016-12-12,2012-12-12,"99 Everyway","PR1 1LL"
bbaggins,"6584 1547 1589","Bilbo Baggins",MasterCard,2019-09-01,2014-02-06,"68 Finch Road","GG16 8HL"
bbaggins,"8495 1548 9852","Frodo Baggins",MasterCard,2019-02-02,NULL,"68 Finch Road","GG16 8HL"
bmiller,"1542 5598 6589",Bryony,VISA,2019-01-09,NULL,"Castle 1","HG01 3DE"
bmiller,"2548 2469 2548 ",Bryony,VISA,2012-04-15,2011-02-05,"Castle 1","HG01 3DE"
darmstrong,"8895 8845 2156","D Armstrong",MasterCard,2020-01-01,2012-04-05,"88 Fatlady Road","WA14 5GG"
fchristmas,"0000 0000 0001",Nicholas,"American Express",2222-12-12,2013-05-01,"27 Salmon Street","M9 7QH"
lparker,"0056 4582 8569","L Parker","American Express",2020-06-01,NULL,"36 Teeside Way","PR1 1QR"
mleech,"1245 0025 8596","Mark Leech",VISA,2025-08-01,NULL,"8 Cecil Road","M9 6RP"
sbartlett,"5478 5486 2365","S Bartlett",VISA,2023-07-01,NULL,"Touche House","GG16 8HL"
